Include,Exclusion reason,DOI,,Unique ID,Authors,Year,Country / Region,Funding source,Publication type,Design,Unit of assignment,Follow-up duration,Risk-of-bias tool used,Overall RoB judgment,Setting type,Population description,Baseline value,Sample size,Intervention category,Intervention category (broad),[AA] Intervention category (standardized),[JB] Intervention category (standardized),Intervention description,Core components,Intensity / dose,Implementation fidelity reported?,Implementation Description,Comparator / control condition,Estimation Method,Outcome name,Outcome Reference ,Outcome domain,Outcome definition / metric,[AA] Outcome Category (Standardized),[JB] Outcome Category (Standardized),[AA] Outcome—Intent (Standardized),[JB] Outcome—Intent (Standardized),Time point(s),Unit,Effect size,Standard Error,CI lower,CI upper,P-value,Raw data extracted,Direction of effect,Sub-groups analyzed?,Effect heterogeneity,Co-interventions / policy environment,Implementation barriers / facilitators,Notes ,Notes,JB Notes,AA check,Intervention class v1 - broad,Intervention class v2,Intervention class v3,Exclude
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,... = Law if gun owner intentionally or recklessly gives gun access to a child ,...,unintentional shootings,...,shootings,shootings,,unintentional,...,,1.06,N/A,0.85,1.31,0.62,N/A,↓ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,... = Law if child does access an unsecurely stored gun ,...,unintentional shootings,...,shootings,shootings,,unintentional,...,,0.76,N/A,0.61,0.94,0.01,N/A,↓ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,... = Law if child is likely to access an unsecurely stored gun,...,unintentional shootings,...,shootings,shootings,,unintentional,...,,0.59,N/A,0.45,0.78,< .01,N/A,↓ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,... = Law requiring secure storage when not in owner’s possession ,...,unintentional shootings,...,shootings,shootings,,unintentional,...,,0.28,N/A,0.15,0.54,< .01,N/A,↓ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.2196/19369,45,Caputi 2020,"Caputi, T.L. et al.",2020,United States - National ,Marshall Scholarship (Caputi) and Everytime affiliated ,Journal article,Interruped time series using the Autoregressive Integrated Moving Average (ARIMA) model (via the Hyndman-Khandakar algorithm),State-week,"34 days post-declaration (March 8 – April 11, 2020); compared with January 1 – March 7, 2020",N/A,N/A,Mixed,All 50 states and D.C. included. General public reached via google searches related to gun preparation. ,"~1000 gun prep searches per 10 million Google searches by March 21, 2020",Around 2.1 million gun preparation-related searches in 34 days,N/A,environment change,Environmental changes (e.g. covid effects),Environmental changes (e.g. covid effects),Not a direct intervention; observational response to COVID-19,Observed increases in Google searches for “buy gun(s)” or “clean gun(s)” ,N/A,No,"Google Trends data compared with ARIMA forecast from 2004–March 7, 2020",Counterfactual trend forecast from ARIMA model using historical data,ARIMA model,Google search volume for gun preparation,Results,firearm behaviors and attitudes,Portion of Google searches containing “buy gun(s)” or “clean gun(s)”,firearm behaviors (pro-firearm),firearm behaviors (pro-firearm),,n/a,"March 8 – April 11, 2020 vs. ARIMA trends from pre-COVID ",,158% increase ,N/A,73%,270%,< 0.05,N/A,↑ harmful,Yes – by state,"High increases in pandemic hotspots (CA, NY); not uniform nationally with trends in the US. ",COVID-19 pandemic and associated media attention and anxiety,N/A,,,recode effect size to be just an extractable number?,,Other / unclear,Other / unclear,Other / unclear,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.1080/13811110490476752,46,Caron 2004,"Caron, J.",2004,"Canada – Abitibi-Témiscamingue, Quebec",Foundation of the Université du Québec in Abitibi-Témiscamingue,Journal article,Before-after ecological study,Region,11 years (1986–1996),N/A,N/A,Rural,"Abitibi-Témiscamingue is a northern Quebec region with high firearm ownership due to hunting culture. All residents in the region is ≈156,000. A focus on suicides across sex and age groups completed ","Firearm suicide rate = 12.7 per 100,000 (1986–1991)","426 suicides: 218 pre-law, 211 post-law",Legislation,legislation,Legislation—restrictive,Legislation—restrictive,Bill C-17 (1992): Required safe storage of firearms with locks or separate ammo storage,"Locking mechanisms, storage separate from ammunition",Yes – applied nationwide; local compliance not directly measured,No,N/A,Pre-legislation period (1986–1991),Chi-square tests,Firearm suicide rate,Table 1,firearm suicide mortality,"Age-adjusted firearm suicides per 100,000",firearm mortality,firearm mortality,,"""Self-inflicted (suicide, self-harm)""",1986–1991 vs. 1992–1996,,decrease of 21.3%,N/A,N/A,N/A,p < 0.001,183 pre-law vs. 180 post-law suicides (male); 33 pre vs. 31 post (female). ,↓ beneficial,Yes – by gender and age group,Largest firearm suicide decrease in under-25s and women; suicide rate ↑ for youth despite ↓ firearm use,N/A,N/A,,,looks good to me!,,Firearm policy / legal change,Child access prevention / safe storage mandates,System: policy change (access-restricting/regulatory),
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,Suicide rate by other methods,...,non-firearm suicide mortality,Age-adjusted rate of suicide by all non-firearm methods,nonfirearm mortality,nonfirearm mortality,,"""Self-inflicted (suicide, self-harm)""",...,,increase by 5%,N/A,N/A,N/A,p < 0.001,"From 11.8 to 16.8 per 100,000",↑ harmful,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclude,about shooting accuracy for sport shooting,10.1136/ip.2008.020768,47,Carr 2009,"Carr, B.G. et al. ",2009,"United States – Philadelphia, PA",University Research Foundation of the University of Pennsylvania,Journal article,"RCT (pilot, double-blind, placebo-controlled)",Person,Single session (within 1 day),N/A,N/A,Urban,"Firearm Use & Safety Experiments (FUSE) lab at University of Pennsylvania. Included male participants aged 21–40, non-habitual drinkers, no professional firearm training (N = 12)",Target shooting accuracy: 98.9% (alcohol) vs. 85% (placebo),"12 participants (6 alcohol, 6 placebo); 160 scenarios completed",Behavioral,behavioral,,Exclude,Alcohol administration to reach target BAC of 0.05–0.10%; compared to placebo beverage,"Alcohol dosing, firearm simulator testing under various scenarios",Yes – individualized alcohol dosing until target BAC reached,Yes ,"Controlled dosing, randomization, and blinding procedures rigorously followed",Placebo group received non-alcoholic tonic disguised as vodka,Descriptive,Target shooting accuracy,Table 2,firearm behaviors and attitudes,% bulls-eye hits and time to complete task (seconds),,Exclude,,Exclude,Pre and post alcohol consumption,,decrease of 6.93%,N/A,N/A,N/A,N/A,Alcohol vs Placebo groups at baseline and post-intervention.,↓ harmful,No,N/A,N/A,Mechanical failure in ~6% of trials and the placebo masking was moderately effective,,,I think we may want to exclude ahwaz@email.gwu.edu-- this feels like sport shooting info,,Clinical counseling / screening,Clinical counseling / screening / decision support,Service: clinical counseling/screening (behavior change),
Exclude,about shooting accuracy for sport shooting,,,,,,,,,,,,,,,,,,,,,Exclude,,,,,,,...,Target shooting speed,...,firearm behaviors and attitudes,...,,Exclude,,Exclude,...,,decrease of 0.59 seconds,N/A,N/A,N/A,N/A,...,↓ harmful,...,...,,,,,,,,,,
Exclude,about shooting accuracy for sport shooting,,,,,,,,,,,,,,,,,,,,,Exclude,,,,,,,...,Reaction Time speed= first shot ,...,firearm behaviors and attitudes,Time to first shot (sec),,Exclude,,Exclude,...,,increase of 1.45 sec,N/A,N/A,N/A,N/A,...,↓ harmful,...,...,,,,,,,,,,
Exclude,about shooting accuracy for sport shooting,,,,,,,,,,,,,,,,,,,,,Exclude,,,,,,,...,Reaction Time speed= first hit ,...,firearm behaviors and attitudes,Time to first hit (sec),,Exclude,,Exclude,...,,increase of 2.44 sec,N/A,N/A,N/A,N/A,...,↓ harmful,...,...,,,,,,,,,,
Exclude,about shooting accuracy for sport shooting,,,,,,,,,,,,,,,,,,,,,Exclude,,,,,,,...,Reaction time Accuracy ,...,firearm behaviors and attitudes,% hit target,,Exclude,,Exclude,...,,0,N/A,N/A,N/A,N/A,...,↓ harmful,...,...,,,,,,,,,,
Exclude,about shooting accuracy for sport shooting,,,,,,,,,,,,,,,,,,,,,Exclude,,,,,,,...,Judgement speed= first shot ,...,firearm behaviors and attitudes,Time to first shot (sec),,Exclude,,Exclude,...,,decrease of 0.86 sec,N/A,N/A,N/A,N/A,...,↑ harmful,...,...,,,,,,,,,,
Exclude,about shooting accuracy for sport shooting,,,,,,,,,,,,,,,,,,,,,Exclude,,,,,,,...,Judgement speed= first hit ,...,firearm behaviors and attitudes,Time to first hit (sec),,Exclude,,Exclude,...,,decrease of 2.9 sec,N/A,N/A,N/A,N/A,...,↑ harmful,...,...,,,,,,,,,,
Exclude,about shooting accuracy for sport shooting,,,,,,,,,,,,,,,,,,,,,Exclude,,,,,,,...,Judgement  Accuracy ,...,firearm behaviors and attitudes,% hit target,,Exclude,,Exclude,...,,decrease of 12.69 sec,N/A,N/A,N/A,N/A,...,↑ harmful,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.1176/ajp.151.4.606,48,Carrington 1994,"Carrington, P.J.; Moyer, S.",1994,Canada – Ontario,Department of Justice Canada and SSHRC,Journal article,Interrupted time series,Province,25 years (1965–1989),N/A,N/A,Mixed,"Study of general population in Ontario, a province with urban and rural regions ","Firearm suicide rate (1979–1989): 3.2 per 100,000","25 years of annual data; N ≈ 13 years pre (1965–1977), 11 years post (1979–1989)",Legislation,legislation,Legislation—restrictive,Legislation—restrictive,"Canadian gun control law (Bill C-51, 1977) including restrictions on firearm access and storage","Licensing, safety regulation, safe storage, transport rules",Yes – implemented nationally in 1978,No,Assumed consistent province-wide implementation,Pre-legislation period (1965–1977),OLS regression,Difference in firearm suicide rate from 1965-1977 to 1979-1989,Table 1,firearm suicide mortality,"Age-standardized firearm suicides per 100,000",firearm mortality,firearm mortality,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",1965–1977 vs. 1979–1989,,-0.13,0.03,N/A,N/A,p < 0.001,N/A,↓ beneficial,No,N/A,N/A,N/A,,,looks great,,Firearm policy / legal change,Other firearm policy/legal,System: policy change (access-restricting/regulatory),
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,Difference in non firearm suicide rate from 1965-1977 to 1979-1989,...,non-firearm suicide mortality,...,nonfirearm mortality,nonfirearm mortality,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,-0.33,0.07,N/A,N/A,p < 0.001,N/A,↓ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"Difference in Nonfirearm suicides, pseudo-generalized least-squares estimates",...,non-firearm suicide mortality,...,nonfirearm mortality,nonfirearm mortality,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,-0.35,0.1,N/A,N/A,0.002,N/A,↓ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,Difference in total suicide rate from 1965-1977 to 1979-1989,...,overall suicide mortality,...,overall mortality,overall mortality,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,-0.47,0.08,N/A,N/A,p < 0.001,N/A,↓ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclude,not gun violence specific,10.1111/acem.13021,49,Carter 2016,"Carter, P.M. et al. ",2016,"United States – Flint, MI","Grants from CDC, NIH/NIDA, and CDCP",Journal article,Quasi-experimental (non-randomized),Neighborhood,2 months,N/A,N/A,Urban,"Level-1 emergency department in a high-violence community (Flint, MI). Intervention delivered during ED visit. Population consists of youth aged 14–20 living in high-risk neighborhoods, ~60% female, 93% African-American, 79% receiving public assistance",Any aggression: 48.2%; Any victimization: 58.7%; Self-efficacy score ~13.0/20,"N=409, 91% follow-up (n=373)",Hospital-based intervention,hospital-based,"Hospital-Based, Counseling/Behavioral","Hospital-Based, Counseling/Behavioral",30-min therapist-delivered motivational interviewing and cognitive skills BI (Project Sync) in the ED,"Goal review, tailored feedback, decisional balance, role-playing, resource linkage",Yes – delivered individually with fidelity monitoring,Yes ,"Therapist training, supervision, MITI fidelity scores; mean global spirit rating = 4.8",Enhanced usual care (EUC): received only a community resource brochure,Zero-inflated Poisson regression (ZIP),Frequency of baseline violent victimization,Table 3 ,behaviors and attitudes,CTS-2 and CADRI victimization items (range 0–6),,,,,Baseline,,1.02,N/A,1.02,1.03,<0.001,N/A,↔ null,No,N/A,Other youth violence prevention interventions were ongoing but had minimal participant exposure (1.9%),Strong fidelity procedures; resource-intensive therapist delivery noted as a limitation for scalability,Project Sync was adapted from SafERteens for universal youth populations (not just alcohol/violence-positive),,"this outcome is confusing to me-- baseline means it's not any sort of measure of the intervention effectiveness, right? if so we might want to transform to an interpretable outcome",flag,Clinical counseling / screening,Clinical counseling / screening / decision support,Service: clinical counseling/screening (behavior change),Exclude
Exclude,not gun violence specific,,,,,,,,,,,,,,,,,,,,"Hospital-Based, Counseling/Behavioral","Hospital-Based, Counseling/Behavioral",,,,,,,...,Therapist BI violent victimization ,...,behaviors and attitudes,CTS-2 and CADRI victimization items (range 0–6),,,,,2-month follow-up,,1.02,N/A,0.89,1.16,N/A,N/A,↔ null,...,...,,,,,,,,,,
Exclude,not gun violence specific,,,,,,,,,,,,,,,,,,,,"Hospital-Based, Counseling/Behavioral","Hospital-Based, Counseling/Behavioral",,,,,,,...,Frequency of baseline violent aggression ,...,behaviors and attitudes,"Frequency of peer/partner violence (12-item CTS-2 and CADRI), range 0–6",,,,,Baseline,,1.04,N/A,1.03,1.04,<0.001,N/A,↓ beneficial,...,...,,,,,,,,,,
Exclude,not gun violence specific,,,,,,,,,,,,,,,,,,,,"Hospital-Based, Counseling/Behavioral","Hospital-Based, Counseling/Behavioral",,,,,,,...,Therapist BI violent aggression ,...,behaviors and attitudes,"Frequency of peer/partner violence (12-item CTS-2 and CADRI), range 0–6",,,,,2-month follow-up,,0.87,N/A,0.76,0.99,< 0.05,N/A,↓ beneficial,...,...,,,,,,,,,,
Exclude,not gun violence specific,,,,,,,,,,,,,,,,,,,,"Hospital-Based, Counseling/Behavioral","Hospital-Based, Counseling/Behavioral",,,,,,,...,Baseline self-efficacy for avoiding fighting ,...,behaviors and attitudes,5-item self-efficacy scale (range 0–20),,,,,Baseline,,1.05,N/A,1.04,1.05,<0.001,N/A,↑ beneficial,...,...,,,,,,,,,,
Exclude,not gun violence specific,,,,,,,,,,,,,,,,,,,,"Hospital-Based, Counseling/Behavioral","Hospital-Based, Counseling/Behavioral",,,,,,,...,Therapist BI self-efficacy ,...,behaviors and attitudes,5-item self-efficacy scale (range 0–20),,,,,2-month follow-up,,1.09,N/A,1.02,1.15,<0.01,N/A,↑ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.1016/j.annepidem.2018.10.001,50,Castillo-Carniglia 2019,"Castillo-Carniglia, A. et al. ",2019,United States - California ,"Joyce Foundation, Heising-Simons Foundation, UC Firearm Violence Research Center, Robertson Fellowship, Becas Chile",Journal article,Quasi-experimental (Interrupted Time Series using Synthetic Control Method),State,"10 years (1991–2000), with sensitivity analyses for 5 and 15 years",N/A,N/A,Mixed,Statewide population-based analysis in California. Surveyed the general population of California (age-adjusted state-level rates),"Firearm suicide rate (1990): ~6.4/100,000; Firearm homicide: ~9.5/100,000",Population-level rates for California and 32 control states (1981–2000),Legislation,legislation,Legislation—restrictive,Legislation—restrictive,1991 laws: (1) CBC – background checks for all firearm purchases; (2) MVP – prohibits firearm purchase/possession for 10 years following conviction of certain violent misdemeanors,Universal background checks; misdemeanor-based prohibitions,Yes – statewide implementation with enforcement intended from 1991 onward,No ,"Concerns over incomplete data in background check systems, variable enforcement, and low rate of denials",Synthetic control group (weighted average of 32 states without similar policies during 1981–2000),Synthetic Control Method,"California's rate per 100,000 = Firearm homicide ",Table  2,firearm homicide mortality,"Annual deaths per 100,000 people (CDC WISQARS data)",firearm mortality,firearm mortality,"""Interpersonal (homicide, assault)""","""Interpersonal (homicide, assault)""",Five years postimplementation: ,,9.5,N/A,N/A,N/A,N/A,N/A,↔ null,No,N/A,Federal Brady Act implemented in 1998; background check infrastructure incomplete during early 1990s,Incomplete criminal/mental health records; weak enforcement; small affected population (<1% of purchasers denied post-law),,,I'm a little confused about these effect sizes. Why are some of them beneficial if they're positive?,flag,Firearm policy / legal change,Background checks / permits to purchase / sales regulation,System: policy change (access-restricting/regulatory),
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"California's rate per 100,000 = Nonfirearm homicide ",...,non-firearm homicide mortality,...,nonfirearm mortality,nonfirearm mortality,"""Interpersonal (homicide, assault)""","""Interpersonal (homicide, assault)""",...,,3.3,N/A,N/A,N/A,N/A,N/A,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"California's rate per 100,000 = Firearm suicide",...,firearm suicide mortality,...,firearm mortality,firearm mortality,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,6.4,N/A,N/A,N/A,N/A,N/A,↓ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"California's rate per 100,000 =  Non Firearm suicide",...,non-firearm suicide mortality,...,nonfirearm mortality,nonfirearm mortality,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,5.7,N/A,N/A,N/A,N/A,N/A,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"California's rate per 100,000 = Firearm homicide ",...,firearm homicide mortality,...,firearm mortality,firearm mortality,"""Interpersonal (homicide, assault)""","""Interpersonal (homicide, assault)""",Ten years postimplementation (main results),,7.3,N/A,N/A,N/A,N/A,N/A,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"California's rate per 100,000 = Nonfirearm homicide ",...,non-firearm homicide mortality,...,nonfirearm mortality,nonfirearm mortality,"""Interpersonal (homicide, assault)""","""Interpersonal (homicide, assault)""",...,,2.8,N/A,N/A,N/A,N/A,N/A,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"California's rate per 100,000 = Firearm suicide",...,firearm suicide mortality,...,firearm mortality,firearm mortality,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,5.7,N/A,N/A,N/A,N/A,N/A,↓ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"California's rate per 100,000 =  Non Firearm suicide",...,non-firearm suicide mortality,...,nonfirearm mortality,nonfirearm mortality,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,5.3,N/A,N/A,N/A,N/A,N/A,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"California's rate per 100,000 = Firearm homicide ",...,firearm homicide mortality,...,firearm mortality,firearm mortality,"""Interpersonal (homicide, assault)""","""Interpersonal (homicide, assault)""",Fifteen years postimplementation,,6.6,N/A,N/A,N/A,N/A,N/A,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"California's rate per 100,000 = Nonfirearm homicide ",...,non-firearm homicide mortality,...,nonfirearm mortality,nonfirearm mortality,"""Interpersonal (homicide, assault)""","""Interpersonal (homicide, assault)""",...,,2.5,N/A,N/A,N/A,N/A,N/A,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"California's rate per 100,000 = Firearm suicide",...,firearm suicide mortality,...,firearm mortality,firearm mortality,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,5.1,N/A,N/A,N/A,N/A,N/A,↓ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,"California's rate per 100,000 =  Non Firearm suicide",...,non-firearm suicide mortality,...,nonfirearm mortality,nonfirearm mortality,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,5.2,N/A,N/A,N/A,N/A,N/A,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.1136/injuryprev-2017-042475,51,Castillo-Carniglia 2018,"Castillo-Carniglia, A. et al. ",2018,"United States – DE, CO, WA","Joyce Foundation, Heising-Simons Foundation, Robertson Fellowship, Becas Chile",Journal article,Interrupted time series using Synthetic Control Method,State,17 years (1999–2016),N/A,N/A,Mixed,"Statewide analyses in Delaware, Colorado, and Washington",Varies by state and firearm type,Monthly background check rates (N ≈ 204 months/state); 3 treated states vs. 29 control states,Legislation,legislation,Legislation—restrictive,Legislation—restrictive,"CBC policies implemented in DE and CO (July 2013), WA (Dec 2014); extended background checks to private sales",Mandatory background checks for all firearm transfers,Yes – statewide laws,No ,Not enforced uniformly; compliance issues reported in CO and WA; DE compliance unknown,Synthetic control constructed from 29 donor states with no CBC or PTP policy,Synthetic Control Method,% difference in long handgun background check rate post implementation: Delaware ,Table 2 ,firearm behaviors and attitudes,Percentage difference in background checks rate in reference to BC rate of the synthetic controls after policy implementation.,firearm behaviors (anti-firearm),firearm behaviors (anti-firearm),,n/a,Post-CBC (Jul 2013–Dec 2016),,22.30%,N/A,N/A,N/A,N/A,N/A,↑ beneficial,No,N/A,"“I will not comply” protests in WA, low enforcement in CO, and no data on DE",Strong opposition and non-enforcement in WA and CO,,,"it sounds like mutiple interventions are being studied here, which isn't reflected in the outcomes? also something is wrong with the direction of the effect-- how are they all beneficial if they have different signs",flag,Firearm policy / legal change,Background checks / permits to purchase / sales regulation,System: policy change (access-restricting/regulatory),
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,... = Washington ,...,firearm behaviors and attitudes,...,firearm behaviors (anti-firearm),firearm behaviors (anti-firearm),,n/a,...,,-8.0 %,...,...,...,...,...,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,... = Colorado ,...,firearm behaviors and attitudes,...,firearm behaviors (anti-firearm),firearm behaviors (anti-firearm),,n/a,...,,2.4 %,...,...,...,...,...,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,% difference in handgun background check rate post implementation: Delaware ,...,firearm behaviors and attitudes,...,firearm behaviors (anti-firearm),firearm behaviors (anti-firearm),,n/a,...,,24.80%,...,...,...,...,...,↑ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,... = Washington ,...,firearm behaviors and attitudes,...,firearm behaviors (anti-firearm),firearm behaviors (anti-firearm),,n/a,...,,−8.0 %,...,...,...,...,...,↑ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,... = Colorado ,...,firearm behaviors and attitudes,...,firearm behaviors (anti-firearm),firearm behaviors (anti-firearm),,n/a,...,,1.30%,...,...,...,...,...,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,% difference in long gun background check rate post implementation: Delaware ,...,firearm behaviors and attitudes,...,firearm behaviors (anti-firearm),firearm behaviors (anti-firearm),,n/a,...,,33.90%,...,...,...,...,...,↑ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,... = Washington ,...,firearm behaviors and attitudes,...,firearm behaviors (anti-firearm),firearm behaviors (anti-firearm),,n/a,...,,4%,...,...,...,...,...,↑ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,... = Colorado ,...,firearm behaviors and attitudes,...,firearm behaviors (anti-firearm),firearm behaviors (anti-firearm),,n/a,...,,−7.3%,...,...,...,...,...,↑ beneficial,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.1186/s40621-019-0225-8,52,Castillo-Carniglia 2019,"Castillo-Carniglia, A. et al. ",2019,United States – OR and WA,"Joyce Foundation, Heising-Simons Foundation, Robertson Fellowship, Becas Chile",Journal article,Interrupted time series (Synthetic Control Method),State,20 years (1999–2018),N/A,N/A,Mixed,State-level analyses; Washington implemented CBC in Dec 2014; Oregon in Aug 2015,"Handgun BC rate pre-law: ~297.1 (OR); ~228.6 (WA) per 100,000",Monthly data from 1999–2018 (n ≈ 240 months per state),Legislation,legislation,Legislation—restrictive,Legislation—restrictive,"CBC laws requiring background checks on all firearm transfers, including private-party sales",Universal background checks for all transfers,Yes – statewide implementation,No,Partial compliance; private-party checks low in WA (~3.4%) vs. stronger increases in OR,Synthetic control states (n=28) without CBC laws,Synthetic Control Method,Estimated % difference in BC rate following implementation = Oregon,Table 2 ,firearm behaviors and attitudes,"Monthly handgun BCs per 100,000 residents",firearm behaviors (anti-firearm),firearm behaviors (anti-firearm),,n/a,Post-law (Aug 2015–Dec 2018),,18%,N/A,N/A,N/A,p = 0.074,Observed: 349.9; Synthetic: 297.1,↑ beneficial,No,N/A,National upward trend in background checks during study period,WA showed delayed/low adoption; private-party checks remained a small fraction (<5%) of total checks,"Significant ↑ in Oregon, no significant change in Washington",,looks good,,Firearm policy / legal change,Background checks / permits to purchase / sales regulation,System: policy change (access-restricting/regulatory),
,,,,,,,,,,,,,,,,,,,,,Legislation—restrictive,Legislation—restrictive,,,,,,,...,Estimated % difference in BC rate following implementation = Washington,...,firearm behaviors and attitudes,...,firearm behaviors (anti-firearm),firearm behaviors (anti-firearm),,n/a,...,,4%,...,...,...,p = 0.3214,Observed: 237.7; Synthetic: 228.6,↔ null,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
